source,target,weight
"Kodom, M.","Steel, W.F.",2
"Kodom, M.","Bokpin, G.A.",2
"Kumar, S.","Goyal, K.",2
"Song, X.","Qin, X.",2
"Liu, W.","Cowling, M.",2
"Liu, W.","Yang, H.",2
"Liu, W.","Wilson, N.",2
"Samreth, S.","Aiba, D.",2
"Hartarska, V.","Nadolnyak, D.",2
"Hartarska, V.","Cull, R.",2
"Zhang, J.","Gong, X.",3
"Zhang, J.","Jin, H.",2
"Colombi, R.","Giordano, S.",2
"Pettifor, A.","Macphail, C.",2
"Pettifor, A.","Selin, A.",2
"Pettifor, A.","Kahn, K.",2
"Macphail, C.","Selin, A.",2
"Macphail, C.","Kahn, K.",2
"Selin, A.","Kahn, K.",2
"Byansi, W.","Namuwonge, F.",3
"Byansi, W.","Damulira, C.",2
"Byansi, W.","Nakigozi, G.",2
"Byansi, W.","Sensoy-Bahar, O.",2
"Namuwonge, F.","Damulira, C.",2
"Namuwonge, F.","Nakigozi, G.",2
"Namuwonge, F.","Sensoy-Bahar, O.",2
"Figueroa-Armijos, M","Berns, Jp",2
"Odhiambo, Nm","Asongu, S",3
"Zhao, C.","Wu, Y.",2
"Zhao, C.","Guo, J.",2
"Li, X.","Wang, J.",2
"Suhrab, M.","Pinglu, C.",2
"Suhrab, M.","Qian, N.",2
"Pinglu, C.","Qian, N.",2
"Pal, A.","De, R.",3
"Pal, A.","Herath, T.",3
"Pal, A.","Behl, A.",2
"De, R.","Herath, T.",3
"Kiss, D.E.","Preece, G.L.",2
"Kiss, D.E.","Macdonald, M.",2
"Grintein-Weiss, M.","Yeo, Y.H.",2
"Despard, M.R.","Chowa, G.A.N.",2
"Despard, M.R.","Friedline, T.",2
"Despard, M.R.","Chowa, G.",2
"Johnson, L.","Huang, J.",2
"Johnson, L.","Sherraden, M.",4
J.M.,Opiniano,3
"Yorgason, J.B.","Dew, J.P.",2
"Babiarz, P.","Robb, C.A.",2
"Serido, J.","Shim, S.",3
"Serido, J.","Tang, C.",2
"Huang, J.","Nam, Y.",5
"Huang, J.","Lee, E.J.",3
"Huang, J.","Sherraden, M.",6
"Huang, J.","Tadesse, A.",2
"Huang, J.","Clancy, M.M.",3
"Nam, Y.","Lee, E.J.",3
"Nam, Y.","Sherraden, M.",2
"Nam, Y.","Clancy, M.M.",2
"Jorgensen, B.L.","Jensen, J.F.",2
"Lebaron-Black, A.B.","Hill, E.J.",4
"Lebaron-Black, A.B.","Rosa, C.M.",2
"Lebaron-Black, A.B.","Marks, L.D.",3
"Hill, E.J.","Rosa, C.M.",2
"Hill, E.J.","Marks, L.D.",3
"Rosa, C.M.","Marks, L.D.",2
"Shim, S.","Tang, C.",2
Zhu,A.Y.F.,2
"Fan, L.","Chatterjee, S.",5
"Chatterjee, S.","Choung, Y.",3
"Chatterjee, S.","Pak, T.-Y.",4
"Sherraden, M.","Lee, Y.S.",2
"Sherraden, M.","Njenga, G.",2
"Sherraden, M.","Kieyah, J.",2
"Sherraden, M.","Osei-Akoto, I.",2
"Sherraden, M.","Rodríguez, C.",2
"Sherraden, M.","Chowa, G.A.",2
"Sherraden, M.","Zou, L.",2
"Sherraden, M.","Clancy, M.M.",3
"Wann, C.R.","Burke-Smalley, L.",2
"Sun, S.","Chen, Y.-C.",3
"Hong, P.Y.P.","Wathen, M.V.",2
"Khan, M.N.","Ferrer, I.",2
"Khan, M.N.","Lee, Y.",2
"Khan, M.N.","Engel, L.",2
"Khan, M.N.","Ewesesan, R.",2
"Khan, M.N.","Arowolo, I.",2
"Khan, M.N.","Karpa, J.",2
"Ferrer, I.","Lee, Y.",2
"Hu, L.","Wang, D.",2
"Belkina, T.A.","Konyukhova, N.B.",2
"Belkina, T.A.","Kurochkin, S.V.",2
"Konyukhova, N.B.","Kurochkin, S.V.",2
"Liu, L.","Jin, H.",2
"Wu, Y.","Guo, J.",2
"Khanday, I.N.","Tarique, M.",2
"Olaoye, O.O.","Tabash, M.I.",2
"Olaoye, O.O.","Shaddady, A.",2
"Tabash, M.I.","Shaddady, A.",2
"Hossain, S.","Zheng, C.",2
"Collins, J.M.","Odders-White, E.",2
"Chen, F.","Wang, W.",2
"Lee, Y.G.","Kelley, H.H.",3
"Bialowolski, P.","Weziak–Bialowolska, D.",4
"Bialowolski, P.","Cwynar, A.",3
"Weziak–Bialowolska, D.","Cwynar, A.",2
"Kamble, P.A.","Mehta, A.",2
"Kamble, P.A.","Rani, N.",2
"Mehta, A.","Rani, N.",2
"Farooq, U.","Ahmed, F.",2
"Farooq, U.","Dar, A.B.",2
"Farooq, U.","Sharma, R.L.",2
"Lan, J.","Pan, Y.",2
"Zhou, Y.","Lu, W.",2
"Zhou, Y.","Jin, H.",2
"Guo, F.","Hu, D.",2
"Qin, Z.","Hao, H.",2
"Sun, W.","Marcelin, I.",2
"Hu, D.","Zhai, C.",2
"Gallego-Losada, M.-J.","Montero-Navarro, A.",2
"Gallego-Losada, M.-J.","Gallego-Losada, R.",2
"Montero-Navarro, A.","Gallego-Losada, R.",3
"Ključnikov, A.","Civelek, M.",4
"Aye, H.P.","Yoshiteru Nakamori, Y.",2
"Greene, C.","Stavins, J.",2
"Agbezoutsi, K.E.","Urien, P.",2
"Agbezoutsi, K.E.","Dandjinou, T.M.",2
"Urien, P.","Dandjinou, T.M.",2
"Usman, M.","Ul-Hassan, M.",2
"Jarboui, A.","Mouna, A.",2
"Jungo, J.","Madaleno, M.",3
"Jungo, J.","Botelho, A.",3
"Madaleno, M.","Botelho, A.",3
"Ayayi, A.G.","Dout, H.",2
"Erokhin, V.","Raza, A.",3
"Erokhin, V.","Tong, G.",2
"Raza, A.","Tong, G.",2
"Begum, H.","Ferdous Alam, A.S.A.F.",2
"Singh, A.K.","Dwivedi, R.",2
"Singh, A.K.","Tikku, S.R.",2
"Zou, L.","Njenga, G.",2
"Ofori-Acquah, C.","Avortri, C.",2
"Ofori-Acquah, C.","Preko, A.",2
